

/Gem Systems GSM-19W 8078103 v7.0 9 VII 2018 M ew3fl~v7o                          
/ID 1
001 survey.m  000005  01   I  00 000510.0 00000000
002 sg    .b  000019  06  IX  18 140927.0 0000006E
003 sg    .b  000137  06  IX  18 141643.0 0000012C
004 sg    .b  000091  06  IX  18 142014.0 00000686
005 sg    .wm 000086  06  IX  18 142208.0 00000A14
006 sg    .m  000001  01   I  00 000214.0 0000127C
007 prueba.wm 001358  13  IX  18 142931.0 00001292
008 prueba.wm 002281  13  IX  18 150235.0 00009C2A
009 prueba.wm 000033  08   X  18 203000.0 000183A0
010 dia1m1.wm 002555  08   X  18 203601.0 000186D6
011 dia2m1.wm 003300  09   X  18 114519.0 0002898C
012 dia3m1.wm 006158  11   X  18 105931.0 0003D748
013 dia4m1.wm 006507  12   X  18 120941.0 0006462C
014 dia5m1.wm 009653  13   X  18 112023.0 0008D816
015 dia6m1.wm 005397  14   X  18 120014.0 000CA864
016 dia7m1.wm 010111  15   X  18 112157.0 000ECA3E
017 dia8m1.wm 006517  16   X  18 121122.0 0012C9FC
018 dia9m1.wm 011571  17   X  18 114217.0 00155E0A
019 dia101.wm 010620  18   X  18 125308.0 0019F0D4
020 dia111.wm 007249  19   X  18 122050.0 001E2334
021 dia121.wm 005256  20   X  18 125657.0 002100DA
022 dia131.wm 008365  21   X  18 112355.0 002314B6
023 dla141.wm 011038  22   X  18 121601.0 002663F4
024 dia151.wm 008263  23   X  18 120857.0 002AC26C
025 dia161.wm 008921  25   X  18 112600.0 002E069A
026 dia171.wm 015971  26   X  18 124634.0 00318DB0
027 1605  .wm 008682  16   V  19 181027.0 0037E32A
028 1705  .wm 012289  17   V  19 133811.0 003B52FA
029 lab2  .wm 001838  18  VI  19 144203.0 00402FD0
030 lab2  .m  000002  08   X  19 193550.0 0040EA48
031 lab2  .m  000003  08   X  19 194112.0 0040EA8C
032 lab2  .m  000001  08   X  19 195621.0 0040EB14
033 lab2  .wm 000064  08   X  19 204218.0 0040EB36
034 lab2  .wm 000015  08   X  19 205405.0 0040EEAE
035 lab2  .wm 015974  09   X  19 115732.0 0040F000
036 lab2  .wm 000168  02  XII 19 144346.0 00474338
037 lab2  .wm 000268  07  XII 19 110848.0 0047541E
038 lab2  .wm 005594  08  XII 19 163004.0 00476F22
039 lab2  .wm 004628  09  XII 19 180600.0 0049A5D2
040 lab2  .wm 007150  11  XII 19 195636.0 004B7B46
041 lab2  .wm 003789  12  XII 19 213109.0 004E50BE
015.8% mag
084.2% free


/Gem Systems GSM-19W 8078103 v7.0 9 VII 2018 M ew3fl~v7o                          
/ID 1 file 36lab2  .wm  02 XII19
/UTC
/19H
/00474338
/60Hz AC filter
/12.2V
/tune initialize Y auto-tune Y 024.4uT
/lat lon elevation nT sq cor-nT sat position-type time picket-x picket-y 
line  000000
-033.4573266 -070.6618207  000547  24466.86 99  000000.00 06 S 144401.0 -7802617.68  0 
-033.4573266 -070.6618207  000547  24467.29 99  000000.00 06 S 144401.2 * * 
-033.4573266 -070.6618207  000547  24467.34 99  000000.00 06 S 144401.4 * * 
-033.4573266 -070.6618207  000547  24467.35 99  000000.00 06 S 144401.6 * * 
-033.4573266 -070.6618207  000547  24467.35 99  000000.00 06 S 144401.8 * * 
-033.4573266 -070.6618207  000547  24467.07 99  000000.00 06 S 144402.0 * * 
-033.4573266 -070.6618207  000547  24467.07 99  000000.00 06 S 144402.2 * * 
-033.4573266 -070.6618207  000547  24467.00 99  000000.00 06 S 144402.4 * * 
-033.4573266 -070.6618207  000547  24467.18 99  000000.00 06 S 144402.6 * * 
-033.4573266 -070.6618207  000547  24467.43 99  000000.00 06 S 144402.8 * * 
-033.4573266 -070.6618207  000547  24467.53 99  000000.00 06 S 144403.0 * * 
-033.4573266 -070.6618207  000547  24467.32 99  000000.00 06 S 144403.2 * * 
-033.4573266 -070.6618207  000547  24467.37 99  000000.00 06 S 144403.4 * * 
-033.4573266 -070.6618207  000547  24467.29 99  000000.00 06 S 144403.6 * * 
-033.4573266 -070.6618207  000547  24467.29 99  000000.00 06 S 144403.8 * * 
-033.4573267 -070.6618206  000547  24467.02 99  000000.00 06 S 144404.0 * * 
-033.4573267 -070.6618206  000547  24467.07 99  000000.00 06 S 144404.2 * * 
-033.4573267 -070.6618206  000547  24466.95 99  000000.00 06 S 144404.4 * * 
-033.4573267 -070.6618206  000547  24466.99 99  000000.00 06 S 144404.6 * * 
-033.4573267 -070.6618206  000547  24467.19 99  000000.00 06 S 144404.8 * * 
-033.4573267 -070.6618206  000547  24467.06 99  000000.00 06 S 144405.0 * * 
-033.4573267 -070.6618206  000547  24467.00 99  000000.00 06 S 144405.2 * * 
-033.4573267 -070.6618206  000547  24467.21 99  000000.00 06 S 144405.4 * * 
-033.4573268 -070.6618206  000547  24467.30 99  000000.00 06 S 144405.6 * * 
-033.4573268 -070.6618206  000547  24467.30 99  000000.00 06 S 144405.8 * * 
-033.4573269 -070.6618205  000547  24467.40 99  000000.00 06 S 144406.0 * * 
-033.4573269 -070.6618205  000547  24467.40 99  000000.00 06 S 144406.2 * * 
-033.4573269 -070.6618205  000547  24467.40 99  000000.00 06 S 144406.4 * * 
-033.4573269 -070.6618205  000547  24467.39 99  000000.00 06 S 144406.6 * * 
-033.4573269 -070.6618205  000547  24467.43 99  000000.00 06 S 144406.8 * * 
-033.4573269 -070.6618205  000547  24467.38 99  000000.00 06 S 144407.0 * * 
-033.4573269 -070.6618205  000547  24467.34 99  000000.00 06 S 144407.2 * * 
-033.4573269 -070.6618205  000547  24467.25 99  000000.00 06 S 144407.4 * * 
