;Lat;Lon
;-24,488189;-70,0996445
;-24,4881932;-70,0996553
;-24,4881952;-70,0996653
;-24,4881966;-70,0996763
;-24,4881973;-70,0996855
;-24,4881983;-70,0996955
;-24,4881989;-70,0997041
;-24,488201;-70,0997131
;-24,4882026;-70,0997211
;-24,4882014;-70,0997276
;-24,4882;-70,0997334
;-24,4881996;-70,0997406
;-24,4882003;-70,0997513
;-24,4882013;-70,0997621
;-24,4882033;-70,099772
;-24,4882034;-70,0997806
;-24,4882033;-70,0997926
;-24,488203;-70,0998042
;-24,488203;-70,0998153
;-24,4882039;-70,0998263
;-24,4882049;-70,0998373
;-24,4882072;-70,099848
;-24,4882075;-70,0998582
;-24,4882089;-70,0998675
;-24,4882101;-70,0998784
;-24,4882105;-70,0998911
;-24,4882105;-70,0999003
;-24,4882109;-70,0999117
;-24,4882105;-70,0999223
;-24,4882092;-70,099932
;-24,4882096;-70,0999429
;-24,4882084;-70,099954
;-24,488206;-70,0999635
;-24,4882042;-70,0999716
;-24,4882054;-70,0999825
;-24,4882059;-70,0999956
;-24,4882047;-70,1000069
;-24,4882043;-70,1000174
;-24,4882053;-70,1000296
;-24,488207;-70,1000425
;-24,4882073;-70,1000533
;-24,4882085;-70,1000664
;-24,4882097;-70,1000764
;-24,4882098;-70,1000892
;-24,4882094;-70,1001009
;-24,4882075;-70,1001123
;-24,4882079;-70,1001251
;-24,4882088;-70,1001375
;-24,4882094;-70,1001485
;-24,4882112;-70,1001616
;-24,4882119;-70,1001718
;-24,4882114;-70,1001849
;-24,4882127;-70,1001972
;-24,4882145;-70,100209
;-24,4882161;-70,1002193
;-24,4882176;-70,1002308
;-24,4882189;-70,1002424
;-24,488221;-70,1002526
;-24,4882218;-70,1002643
;-24,4882233;-70,1002763
;-24,4882229;-70,100286
;-24,4882223;-70,1002974
;-24,4882237;-70,1003095
;-24,4882239;-70,100321
;-24,4882234;-70,100334
;-24,4882244;-70,1003467
;-24,4882251;-70,1003585
;-24,4882273;-70,1003708
;-24,4882288;-70,1003811
;-24,4882306;-70,1003939
;-24,4882309;-70,1004047
;-24,4882323;-70,1004166
;-24,4882331;-70,10043
;-24,4882337;-70,1004402
;-24,4882351;-70,1004507
;-24,4882369;-70,1004601
;-24,4882406;-70,1004726
;-24,4882439;-70,1004836
;-24,4882471;-70,1004946
;-24,4882495;-70,1005084
;-24,488251;-70,1005184
;-24,4882518;-70,1005301
;-24,4882517;-70,1005432
;-24,4882525;-70,1005552
;-24,4882527;-70,1005668
;-24,4882539;-70,1005797
;-24,4882542;-70,1005897
;-24,4882544;-70,1006042
;-24,4882557;-70,1006152
;-24,4882566;-70,100627
;-24,4882561;-70,1006384
;-24,4882582;-70,1006513
;-24,4882587;-70,10066
;-24,4882582;-70,1006732
;-24,4882594;-70,1006871
;-24,4882599;-70,1006972
;-24,4882606;-70,1007084
;-24,4882605;-70,1007189
;-24,4882599;-70,1007305
;-24,4882603;-70,1007434
;-24,4882615;-70,1007567
;-24,4882623;-70,100769
;-24,4882627;-70,1007796
;-24,4882633;-70,1007917
;-24,4882634;-70,1008026
;-24,4882648;-70,1008141
;-24,4882667;-70,100828
;-24,4882679;-70,1008392
;-24,4882675;-70,10085
;-24,4882685;-70,100861
;-24,4882698;-70,1008744
;-24,4882707;-70,1008866
;-24,488272;-70,1008982
;-24,4882726;-70,1009108
;-24,4882739;-70,1009226
;-24,4882758;-70,1009349
;-24,4882778;-70,1009461
;-24,4882779;-70,1009577
;-24,4882776;-70,100969
;-24,4882786;-70,1009822
;-24,4882798;-70,1009937
;-24,4882804;-70,1010078
;-24,4882821;-70,101017
;-24,4882835;-70,1010294
;-24,4882835;-70,101042
;-24,4882836;-70,1010545
;-24,4882846;-70,1010661
;-24,4882868;-70,1010781
;-24,4882881;-70,1010912
;-24,4882893;-70,1011031
;-24,4882901;-70,1011157
;-24,4882906;-70,1011267
;-24,488291;-70,1011398
;-24,4882916;-70,1011504
;-24,4882915;-70,1011619
;-24,4882907;-70,1011758
;-24,488292;-70,1011873
;-24,4882916;-70,1011995
;-24,488292;-70,1012109
;-24,4882944;-70,1012226
;-24,4882969;-70,1012332
;-24,488301;-70,1012455
;-24,4883023;-70,1012535
;-24,4883044;-70,101263
;-24,4883042;-70,1012748
;-24,4883045;-70,101285
;-24,4883044;-70,1012989
;-24,488304;-70,1013099
;-24,4883029;-70,101322
;-24,4883029;-70,1013319
;-24,4883019;-70,1013421
;-24,4882997;-70,1013486
;-24,4882958;-70,1013551
;-24,4882951;-70,1013631
;-24,4882971;-70,1013723
;-24,4882997;-70,101381
;-24,4883035;-70,10139
;-24,4883063;-70,1014005
;-24,4883098;-70,1014141
;-24,4883124;-70,1014239
;-24,4883134;-70,1014316
;-24,4883127;-70,1014447
;-24,4883099;-70,101458
;-24,4883087;-70,1014687
;-24,4883099;-70,101479
;-24,4883111;-70,1014897
;-24,4883128;-70,1015007
;-24,4883122;-70,1015118
;-24,488311;-70,1015246
;-24,48831;-70,1015386
;-24,4883098;-70,1015511
;-24,4883086;-70,1015616
;-24,488308;-70,1015736
;-24,4883095;-70,1015867
;-24,4883105;-70,1015987
;-24,4883126;-70,1016101
;-24,4883154;-70,1016222
;-24,4883176;-70,1016359
;-24,4883201;-70,1016484
;-24,4883206;-70,1016603
;-24,488321;-70,1016727
;-24,4883196;-70,1016827
;-24,4883203;-70,101694
;-24,4883218;-70,1017053
;-24,4883245;-70,1017169
;-24,4883264;-70,1017308
;-24,488327;-70,1017428
;-24,4883273;-70,1017567
;-24,4883275;-70,1017713
;-24,4883277;-70,1017802
;-24,4883276;-70,1017931
;-24,4883288;-70,1018045
;-24,4883287;-70,1018161
;-24,4883307;-70,1018274
;-24,4883342;-70,1018378
;-24,4883358;-70,1018487
;-24,488337;-70,1018583
;-24,4883372;-70,1018683
;-24,4883389;-70,1018793
;-24,488339;-70,1018911
;-24,4883388;-70,101906
;-24,4883372;-70,1019179
;-24,4883355;-70,1019316
;-24,488333;-70,1019451
;-24,4883319;-70,1019571
;-24,4883311;-70,1019688
;-24,4883319;-70,1019814
;-24,4883306;-70,1019949
;-24,488331;-70,1020057
;-24,488332;-70,1020187
;-24,4883321;-70,1020314
;-24,4883324;-70,1020441
;-24,4883338;-70,102057
;-24,4883338;-70,102069
;-24,488335;-70,1020815
;-24,4883361;-70,102094
;-24,4883366;-70,1021054
;-24,4883373;-70,1021179
;-24,4883372;-70,102132
;-24,4883379;-70,1021451
;-24,488339;-70,1021588
;-24,48834;-70,1021725
;-24,4883414;-70,1021853
;-24,4883422;-70,1021982
;-24,4883421;-70,1022113
;-24,4883414;-70,1022245
;-24,4883409;-70,1022359
;-24,4883415;-70,1022492
;-24,4883421;-70,1022623
;-24,4883425;-70,102275
;-24,4883429;-70,1022857
;-24,4883438;-70,1022974
;-24,4883444;-70,1023104
;-24,4883443;-70,1023213
;-24,4883443;-70,1023326
;-24,4883453;-70,1023465
;-24,4883463;-70,1023583
;-24,488347;-70,1023679
;-24,4883473;-70,1023825
;-24,4883476;-70,1023956
;-24,4883486;-70,1024077
;-24,4883481;-70,1024222
;-24,488347;-70,1024345
;-24,4883482;-70,1024469
;-24,4883489;-70,1024582
;-24,4883502;-70,1024713
;-24,48835;-70,1024844
;-24,4883505;-70,1024969
;-24,4883517;-70,1025105
;-24,488351;-70,1025232
;-24,4883514;-70,1025359
;-24,4883506;-70,1025468
;-24,488351;-70,1025592
;-24,4883514;-70,1025721
;-24,4883521;-70,1025839
;-24,4883526;-70,1025966
;-24,4883529;-70,1026102
;-24,4883533;-70,102622
;-24,4883529;-70,1026335
;-24,4883528;-70,1026446
;-24,4883529;-70,1026567
;-24,4883511;-70,102668
;-24,4883516;-70,1026812
;-24,4883507;-70,1026948
;-24,4883519;-70,1027082
;-24,4883517;-70,1027184
;-24,4883518;-70,1027292
;-24,488351;-70,10274
;-24,4883521;-70,102752
;-24,4883529;-70,1027615
;-24,4883553;-70,1027773
;-24,4883579;-70,1027882
;-24,4883601;-70,1027997
;-24,4883605;-70,1028117
;-24,4883602;-70,1028231
;-24,48836;-70,1028361
;-24,4883613;-70,1028475
;-24,4883609;-70,1028619
;-24,4883593;-70,1028736
;-24,4883581;-70,102886
;-24,4883557;-70,1028988
;-24,4883534;-70,1029069
;-24,4883501;-70,1029164
;-24,4883494;-70,1029296
;-24,488348;-70,1029415
;-24,4883476;-70,1029555
;-24,488348;-70,1029673
;-24,4883479;-70,1029801
;-24,4883482;-70,1029933
;-24,4883496;-70,1030063
;-24,4883529;-70,1030193
;-24,4883554;-70,1030308
;-24,4883582;-70,1030428
;-24,4883591;-70,1030549
;-24,4883598;-70,1030679
;-24,4883607;-70,1030818
;-24,4883627;-70,1030951
;-24,4883637;-70,1031089
;-24,4883648;-70,1031239
;-24,4883666;-70,1031364
;-24,488368;-70,1031501
;-24,4883689;-70,1031643
;-24,4883701;-70,1031784
;-24,4883713;-70,1031923
;-24,4883738;-70,103207
;-24,4883762;-70,1032202
;-24,4883764;-70,1032324
;-24,4883776;-70,1032451
;-24,4883787;-70,1032585
;-24,4883798;-70,1032708
;-24,4883797;-70,103285
;-24,4883807;-70,1032971
;-24,4883807;-70,1033095
;-24,4883815;-70,1033226
;-24,4883823;-70,1033348
;-24,4883835;-70,1033471
;-24,4883821;-70,1033596
;-24,4883836;-70,1033727
;-24,4883851;-70,1033847
;-24,4883877;-70,103398
;-24,4883889;-70,1034113
;-24,4883924;-70,1034221
;-24,4883912;-70,1034354
;-24,4883915;-70,1034479
;-24,4883932;-70,1034615
;-24,4883942;-70,1034752
;-24,488395;-70,1034892
;-24,4883952;-70,103501
;-24,4883954;-70,1035128
;-24,4883975;-70,1035235
;-24,488399;-70,1035351
;-24,4883982;-70,1035466
;-24,4883998;-70,1035559
;-24,4884019;-70,1035682
;-24,4884041;-70,1035794
;-24,4884054;-70,103591
;-24,4884058;-70,1036038
;-24,4884072;-70,1036139
;-24,4884085;-70,1036259
;-24,4884102;-70,1036381
;-24,4884127;-70,1036486
;-24,4884128;-70,1036605
;-24,4884144;-70,1036729
;-24,4884145;-70,1036843
;-24,4884144;-70,1036983
;-24,4884143;-70,1037105
;-24,4884144;-70,103721
;-24,4884144;-70,1037335
;-24,4884147;-70,1037448
;-24,4884171;-70,1037568
